Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status;Gerado em
P1;Calculo das Taxas de Recursos;PLUSVAL.PPE.0058.V4;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Calculo das Taxas de Recursos;MAIS_FRANGO.PPE.0013.V4;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Calculo das Taxas de Recursos;DF_AVES.PPE.0007.V4;Planejamento de Produção ao Estoque;DF AVES LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Calculo das Taxas de Recursos;COPRIMAR.PPE.0007.V4;Planejamento de Produção ao Estoque;COPRIMAR COMERCIO DE PESCADOS E FRUTOS DO MAR LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Contabilização de Custos;DOURAMIX.PPE.0009.V4;Planejamento de Produção ao Estoque;RACOES DOURAMIX LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Contabilização de Custos;PLUMA_GEN.PPE.0017.V4;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Contabilização de Custos;MAR_E_TERRA.PPE.0025.V4;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Contabilização de Custos;MAIS_FRANGO.PPE.0015.V4;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Contabilização de Custos;BELLO.PPE.0052.V4;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Custo Gerencial Frango Vivo;BELLO.PPE.0165.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Custo Gerencial Frango Vivo;PLUSVAL.PPE.0155.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Custo Gerencial Frango Vivo;MAIS_FRANGO.PPE.0018.V3;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Custo Gerencial Peixe Vivo;MAR_E_TERRA.PPE.0128.V1;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Fechar Período de Custos;GPL_TRADING.PPE.0004.V4;Planejamento de Produção ao Estoque;GPL TRADING IMPORTACAO E EXPORTACAO LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Fechar Período de Custos;BELLO.PPE.0051.V4;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Fechar Período de Custos;PLUMA_GEN.PPE.0016.V4;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Indice de absorção da carne Frigorifico Ipora;PLUSVAL.PPE.0157.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (Embutidos) Elaborados - Bello Balsa Nova;BELLO.PPE.0161.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (Embutidos) Massadas - Bello Balsa Nova;BELLO.PPE.0166.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (Fabrica de Ração) - Cassilândia;CASSILANDIA.PPE.0020.V1;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (Fabrica de Ração) - Douramix;DOURAMIX.PPE.003.V4;Planejamento de Produção ao Estoque;RACOES DOURAMIX LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (Fabrica de Ração) Em Terceiros - Pluma Cascavel;PLUMA_AGRO.PPE.0325.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (FFO) Em Terceiros - Astra Itapui;ASTRA.PPE.0012.V3;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (FFO) Propria - Bello Ap. do Taboado Peixe;PLUSVAL.PPE.0147.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (FFO) Propria - Bello Itaquirai;BELLO.PPE.0160.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (FFO) Propria - Mais Frango;PLUSVAL.PPE.0152.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Frango Vivo - Pluma Toledo;PLUMA_AGRO.PPE.0320.V3;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Frango Vivo - Plusval Capanema;PLUSVAL.PPE.0153.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Frango Vivo - Plusval Ipora;PLUSVAL.PPE.0148.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Frango Vivo - Plusval Umuarama;PLUSVAL.PPE.0146.V3;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (Frigorifico) Ordem Processo - Bello Ap do Taboado Peixe;BELLO.PPE.0164.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (Frigorifico) Ordem Processo - Coprimar;COPRIMAR.PPE.003.V4;Planejamento de Produção ao Estoque;COPRIMAR COMERCIO DE PESCADOS E FRUTOS DO MAR LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (Frigorifico) Ordem Processo - DF Aves;DF_AVES.PPE.002.V4;Planejamento de Produção ao Estoque;DF AVES LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Incubatório - Pluma Bom Sucesso;PLUMA_AGRO.PPE.0321.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Incubatório - Pluma Gen Campina Grande;PLUMA_GEN.PPE.0020.V3;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Incubatório - Pluma Ipora;PLUMA_AGRO.PPE.0323.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
