Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status
P1;Calculo das Taxas de Recursos;MAIS_FRANGO.PPE.0013.V6;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Calculo das Taxas de Recursos;MAR_E_TERRA.PPE.0023.V6;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Contabilização de Custos;MAR_E_TERRA.PPE.0025.V6;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Contabilização de Custos;MAIS_FRANGO.PPE.0015.V6;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Custo Gerencial Frango Vivo;MAIS_FRANGO.PPE.0018.V5;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Custo Gerencial Peixe Vivo;MAR_E_TERRA.PPE.0128.V3;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Fechar Período de Custos;GPL_TRADING.PPE.0004.V4;Planejamento de Produção ao Estoque;GPL TRADING IMPORTACAO E EXPORTACAO LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Ok;1;Concluído
P1;Fechar Período de Custos;PLUMA_GEN.PPE.0016.V4;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Ok;1;Concluído
P1;Fechar Período de Custos;BELLO.PPE.0051.V4;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Ok;1;Concluído
P1;Indice de absorção da carne Frigorifico Itapora;MAR_E_TERRA.PPE.0135.V3;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Indice de absorção da carne Frigorifico Miraguai;MAIS_FRANGO.PPE.0027.V3;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção (Embutidos) Descongelamento - Mais Frango;MAIS_FRANGO.PPE.0021.V3;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção (Embutidos) Elaborados - Mais Frango;MAIS_FRANGO.PPE.0026.V3;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção (Embutidos) Massadas - Mais Frango;MAIS_FRANGO.PPE.0025.V3;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção (Embutidos) Premix - Mais Frango;MAIS_FRANGO.PPE.0022.V3;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção (Embutidos) Produto Acabado - Mais Frango;MAIS_FRANGO.PPE.0020.V3;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção (Fabrica de Ração) - Mais Frango;MAIS_FRANGO.PPE.005.V6;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção (Fabrica de Ração) - Mar e Terra;MAR_E_TERRA.PPE.0132.V3;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção Frango Vivo - Mais Frango;MAIS_FRANGO.PPE.0024.V3;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção (Frigorifico) Ordem Processo - Mais Frango;MAIS_FRANGO.PPE.010.V6;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção Incubatório - Mais Frango;MAIS_FRANGO.PPE.0023.V3;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção Incubatório - Pluma Casa Branca;PLUMA_AGRO.PPE.0341.V3;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção Incubatorio Para Terceiros - Mais Frango;MAIS_FRANGO.PPE.0019.V3;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção Peixe Vivo Parceria - Mar e Terra;MAR_E_TERRA.PPE.0134.V3;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção Peixe Vivo Proprio - Mar e Terra Ap do Taboado;MAR_E_TERRA.PPE.0129.V3;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
